,pIC50,standard_units,molecule_dictionary.chembl_id,canonical_smiles
172,3.8238999972367695,nM,CHEMBL117324,COC[C@@H]1CCCN1CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1
173,4.7920964696139485,nM,CHEMBL1173248,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Cl)cc1
174,4.736363931411892,nM,CHEMBL1173249,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(F)cc1
175,4.959793372425289,nM,CHEMBL1173250,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1Br
176,4.911509529817604,nM,CHEMBL1173251,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1Cl
177,5.007446482167865,nM,CHEMBL1173262,Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1
178,4.757210190521324,nM,CHEMBL1173319,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(C)cc1
179,4.873868592738016,nM,CHEMBL1173324,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1F
180,4.8170150329964185,nM,CHEMBL1173397,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)cc1
181,4.6981022828047925,nM,CHEMBL1173398,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1
182,5.514278573518421,nM,CHEMBL1173454,Cc1ccc(C2=NN(C(N)=S)C(c3ccc([N+](=O)[O-])cc3)C2)cc1C
183,6.080921907623926,nM,CHEMBL1173455,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(F)cc3)C2)cc1C
184,5.866461091629783,nM,CHEMBL1173456,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(Cl)cc3)C2)cc1C
185,5.66354026615147,nM,CHEMBL1173457,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(Br)cc3)C2)cc1C
186,5.191789027075778,nM,CHEMBL1173601,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Br
187,5.137868620686963,nM,CHEMBL1173602,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl
188,5.489454989793388,nM,CHEMBL1173651,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1
